attribute_index,attribute_name,attribute_family,eligible,observed_test,positives_test,negatives_test,native_target_ap_mean,aligned_source_ap_mean,unaligned_source_ap_mean,native_source_ap_mean,aligned_minus_native_target_ap
46,has_underparts_color::olive,has_underparts_color,True,5234,132,5102,0.26001692927927816,0.1603143380317355,0.028003206716836326,0.2731183888648766,-0.09970259124754266
47,has_underparts_color::green,has_underparts_color,True,5234,81,5153,0.16456303665633967,0.12879830128461398,0.015908352399867647,0.178671890320158,-0.0357647353717257
48,has_underparts_color::pink,has_underparts_color,True,5234,24,5210,0.011253960042327602,0.012735442681342635,0.0052691050833384625,0.016132671956826907,0.0014814826390150328
49,has_underparts_color::orange,has_underparts_color,True,5234,189,5045,0.30703959535435577,0.15702497735947635,0.034864151385186046,0.3131257678772567,-0.15001461799487942
50,has_underparts_color::black,has_underparts_color,True,5234,1024,4210,0.6729213043512178,0.5938625299227227,0.17902373679314496,0.6837893388057189,-0.07905877442849507
51,has_underparts_color::white,has_underparts_color,True,5234,2267,2967,0.7780706152364278,0.728516392841563,0.460050884008073,0.7935230722945876,-0.049554222394864844
52,has_underparts_color::red,has_underparts_color,True,5234,211,5023,0.6784888256125841,0.4110742173914358,0.09729071518379996,0.6956237488552216,-0.26741460822114826
53,has_underparts_color::buff,has_underparts_color,True,5234,1053,4181,0.5382700323197064,0.4628867247789664,0.17689562551395413,0.5503174726855086,-0.07538330754073996
54,has_breast_pattern::solid,has_breast_pattern,True,5265,3154,2111,0.8030288464810293,0.7804407435149725,0.5827118826837278,0.8234189614887946,-0.022588102966056844
55,has_breast_pattern::spotted,has_breast_pattern,True,5265,311,4954,0.29286507469953565,0.2223094150787972,0.040579172379370844,0.3038697037474908,-0.07055565962073845
56,has_breast_pattern::striped,has_breast_pattern,True,5265,682,4583,0.4102092380644072,0.29070560754285246,0.10486467057159535,0.44044698624808926,-0.11950363052155472
57,has_breast_pattern::multi-colored,has_breast_pattern,True,5265,1118,4147,0.34014984516809477,0.24114416468583463,0.22321758804453182,0.3766644537915672,-0.09900568048226013
58,has_back_color::blue,has_back_color,True,4530,249,4281,0.6622482288918686,0.47839963283761255,0.03331946579568088,0.6382342230791104,-0.18384859605425607
59,has_back_color::brown,has_back_color,True,4530,1105,3425,0.6281697576984518,0.5429248502300632,0.23448418661115417,0.6260467398912615,-0.08524490746838864
60,has_back_color::iridescent,has_back_color,True,4530,102,4428,0.09431734382095572,0.07820330582676657,0.019767014369188707,0.11662465593871559,-0.016114037994189145
61,has_back_color::purple,has_back_color,True,4530,17,4513,0.009395361964477695,0.005183061326573165,0.0031598998454884174,0.011570894665538421,-0.00421230063790453
62,has_back_color::rufous,has_back_color,True,4530,57,4473,0.2312517276122962,0.08064018968033762,0.012677290645318185,0.14355929316556187,-0.15061153793195858
63,has_back_color::grey,has_back_color,True,4530,1427,3103,0.5900300405498902,0.5255295448325684,0.3538305115168776,0.602855161240724,-0.06450049571732175
64,has_back_color::yellow,has_back_color,True,4530,422,4108,0.5684429368166816,0.4928662673103676,0.0770994085503806,0.6035187290124309,-0.07557666950631398
65,has_back_color::olive,has_back_color,True,4530,196,4334,0.29317556660180444,0.20180895222931658,0.057813577148512874,0.32123803251539645,-0.09136661437248786
66,has_back_color::green,has_back_color,True,4530,87,4443,0.30337190034890515,0.16483087527153284,0.019376298256223144,0.29560448239783294,-0.13854102507737232
67,has_back_color::pink,has_back_color,True,4530,20,4510,0.004735348094010712,0.004054938149623055,0.00463577021487439,0.0048816980905013185,-0.0006804099443876565
