condition,k,attribute_index,rare,query_positives,recall_at_k
native_target,10,156,True,88,0.6931818181818182
native_target,10,160,True,53,0.6037735849056604
native_target,10,161,True,24,0.4166666666666667
native_target,10,169,True,65,0.18461538461538463
native_target,10,170,True,18,0.16666666666666666
native_target,10,171,True,52,0.38461538461538464
native_target,10,175,True,56,0.42857142857142855
native_target,10,176,True,23,0.043478260869565216
native_target,10,177,True,109,0.4954128440366973
native_target,10,185,True,34,0.38235294117647056
native_target,10,186,True,80,0.6
native_target,10,190,True,80,0.5625
native_target,10,191,True,33,0.24242424242424243
native_target,10,199,True,81,0.4074074074074074
native_target,10,200,True,19,0.21052631578947367
native_target,10,201,True,79,0.6075949367088608
native_target,10,205,True,68,0.5294117647058824
native_target,10,206,True,31,0.16129032258064516
native_target,10,224,True,64,0.546875
native_target,10,226,True,26,0.19230769230769232
native_target,10,251,True,44,0.20454545454545456
native_target,10,252,True,107,0.5981308411214953
native_target,10,257,True,45,0.2
native_target,10,263,True,77,0.4675324675324675
native_target,10,265,True,22,0.0
native_target,10,266,True,23,0.0
native_target,10,267,True,66,0.25757575757575757
native_target,10,270,True,29,0.06896551724137931
native_target,10,271,True,7,0.0
native_target,10,280,True,53,0.16981132075471697
native_target,10,281,True,17,0.0
native_target,10,282,True,81,0.49382716049382713
native_target,10,285,True,34,0.29411764705882354
native_target,10,286,True,14,0.0
native_target,10,287,True,53,0.18867924528301888
native_target,10,296,True,36,0.3055555555555556
native_target,10,301,True,66,0.5454545454545454
native_target,10,302,True,36,0.25
oxford_aligned_source,1,2,True,95,0.042105263157894736
oxford_aligned_source,1,12,True,26,0.0
oxford_aligned_source,1,13,True,69,0.057971014492753624
oxford_aligned_source,1,18,True,25,0.0
oxford_aligned_source,1,27,True,31,0.0
oxford_aligned_source,1,28,True,70,0.08571428571428572
oxford_aligned_source,1,33,True,28,0.0
oxford_aligned_source,1,41,True,92,0.05434782608695652
oxford_aligned_source,1,42,True,24,0.041666666666666664
oxford_aligned_source,1,43,True,88,0.06818181818181818
oxford_aligned_source,1,47,True,81,0.1111111111111111
oxford_aligned_source,1,48,True,24,0.0
oxford_aligned_source,1,61,True,17,0.0
oxford_aligned_source,1,62,True,57,0.07017543859649122
oxford_aligned_source,1,67,True,20,0.0
oxford_aligned_source,1,81,True,63,0.0
oxford_aligned_source,1,82,True,16,0.0
oxford_aligned_source,1,83,True,40,0.075
oxford_aligned_source,1,87,True,46,0.021739130434782608
oxford_aligned_source,1,88,True,29,0.0
oxford_aligned_source,1,107,True,90,0.08888888888888889
oxford_aligned_source,1,108,True,17,0.0
oxford_aligned_source,1,109,True,77,0.09090909090909091
oxford_aligned_source,1,113,True,63,0.07936507936507936
oxford_aligned_source,1,114,True,25,0.0
oxford_aligned_source,1,122,True,88,0.07954545454545454
oxford_aligned_source,1,123,True,28,0.0
oxford_aligned_source,1,124,True,74,0.08108108108108109
oxford_aligned_source,1,127,True,88,0.14772727272727273
oxford_aligned_source,1,128,True,60,0.08333333333333333
oxford_aligned_source,1,129,True,26,0.0
oxford_aligned_source,1,135,True,56,0.30357142857142855
oxford_aligned_source,1,137,True,10,0.0
oxford_aligned_source,1,138,True,67,0.04477611940298507
oxford_aligned_source,1,141,True,17,0.0
oxford_aligned_source,1,142,True,3,0.0
oxford_aligned_source,1,143,True,23,0.0
oxford_aligned_source,1,144,True,69,0.14492753623188406
oxford_aligned_source,1,148,True,89,0.0449438202247191
oxford_aligned_source,1,155,True,32,0.0625
oxford_aligned_source,1,156,True,88,0.19318181818181818
oxford_aligned_source,1,160,True,53,0.07547169811320754
oxford_aligned_source,1,161,True,24,0.0
oxford_aligned_source,1,169,True,65,0.0
oxford_aligned_source,1,170,True,18,0.05555555555555555
oxford_aligned_source,1,171,True,52,0.038461538461538464
oxford_aligned_source,1,175,True,56,0.07142857142857142
oxford_aligned_source,1,176,True,23,0.0
oxford_aligned_source,1,177,True,109,0.21100917431192662
oxford_aligned_source,1,185,True,34,0.029411764705882353
oxford_aligned_source,1,186,True,80,0.1875
oxford_aligned_source,1,190,True,80,0.075
oxford_aligned_source,1,191,True,33,0.0
oxford_aligned_source,1,199,True,81,0.06172839506172839
oxford_aligned_source,1,200,True,19,0.05263157894736842
oxford_aligned_source,1,201,True,79,0.06329113924050633
oxford_aligned_source,1,205,True,68,0.058823529411764705
oxford_aligned_source,1,206,True,31,0.03225806451612903
oxford_aligned_source,1,224,True,64,0.15625
oxford_aligned_source,1,226,True,26,0.0
oxford_aligned_source,1,251,True,44,0.0
oxford_aligned_source,1,252,True,107,0.11214953271028037
oxford_aligned_source,1,257,True,45,0.0
oxford_aligned_source,1,263,True,77,0.03896103896103896
oxford_aligned_source,1,265,True,22,0.0
oxford_aligned_source,1,266,True,23,0.0
oxford_aligned_source,1,267,True,66,0.015151515151515152
oxford_aligned_source,1,270,True,29,0.0
oxford_aligned_source,1,271,True,7,0.0
oxford_aligned_source,1,280,True,53,0.0
oxford_aligned_source,1,281,True,17,0.0
oxford_aligned_source,1,282,True,81,0.13580246913580246
oxford_aligned_source,1,285,True,34,0.058823529411764705
oxford_aligned_source,1,286,True,14,0.0
oxford_aligned_source,1,287,True,53,0.03773584905660377
oxford_aligned_source,1,296,True,36,0.05555555555555555
oxford_aligned_source,1,301,True,66,0.045454545454545456
oxford_aligned_source,1,302,True,36,0.0
oxford_aligned_source,5,2,True,95,0.25263157894736843
oxford_aligned_source,5,12,True,26,0.038461538461538464
oxford_aligned_source,5,13,True,69,0.37681159420289856
oxford_aligned_source,5,18,True,25,0.0
oxford_aligned_source,5,27,True,31,0.03225806451612903
oxford_aligned_source,5,28,True,70,0.34285714285714286
oxford_aligned_source,5,33,True,28,0.07142857142857142
oxford_aligned_source,5,41,True,92,0.31521739130434784
oxford_aligned_source,5,42,True,24,0.08333333333333333
oxford_aligned_source,5,43,True,88,0.4090909090909091
oxford_aligned_source,5,47,True,81,0.35802469135802467
oxford_aligned_source,5,48,True,24,0.25
oxford_aligned_source,5,61,True,17,0.058823529411764705
oxford_aligned_source,5,62,True,57,0.2982456140350877
oxford_aligned_source,5,67,True,20,0.0
oxford_aligned_source,5,81,True,63,0.09523809523809523
oxford_aligned_source,5,82,True,16,0.0625
oxford_aligned_source,5,83,True,40,0.35
oxford_aligned_source,5,87,True,46,0.1956521739130435
oxford_aligned_source,5,88,True,29,0.0
oxford_aligned_source,5,107,True,90,0.2777777777777778
oxford_aligned_source,5,108,True,17,0.0
oxford_aligned_source,5,109,True,77,0.2987012987012987
oxford_aligned_source,5,113,True,63,0.30158730158730157
oxford_aligned_source,5,114,True,25,0.08
oxford_aligned_source,5,122,True,88,0.3068181818181818
oxford_aligned_source,5,123,True,28,0.07142857142857142
oxford_aligned_source,5,124,True,74,0.4189189189189189
oxford_aligned_source,5,127,True,88,0.3977272727272727
oxford_aligned_source,5,128,True,60,0.2833333333333333
oxford_aligned_source,5,129,True,26,0.2692307692307692
oxford_aligned_source,5,135,True,56,0.3392857142857143
