attribute_index,attribute_name,attribute_family,eligible,observed_test,positives_test,negatives_test,native_target_ap_mean,aligned_source_ap_mean,unaligned_source_ap_mean,native_source_ap_mean,aligned_minus_native_target_ap
53,has_underparts_color::buff,has_underparts_color,True,5234,1053,4181,0.5594544431639722,0.4894042548895198,0.24411289923456878,0.5395720517785875,-0.07005018827445242
54,has_breast_pattern::solid,has_breast_pattern,True,5265,3154,2111,0.8098765249219777,0.7665166357587714,0.6331446233657987,0.8091201177070545,-0.04335988916320632
55,has_breast_pattern::spotted,has_breast_pattern,True,5265,311,4954,0.28281636070844146,0.24104304297828816,0.06607355354741232,0.28181887417549867,-0.0417733177301533
56,has_breast_pattern::striped,has_breast_pattern,True,5265,682,4583,0.4316323508784656,0.35283854367780976,0.14485860823891944,0.4074253776251201,-0.07879380720065582
57,has_breast_pattern::multi-colored,has_breast_pattern,True,5265,1118,4147,0.35833505096360924,0.3208396955693848,0.25164026609218487,0.34979635419875865,-0.03749535539422444
58,has_back_color::blue,has_back_color,True,4530,249,4281,0.6590462418924188,0.6286904799070354,0.04099017935937495,0.6549203945908213,-0.030355761985383367
59,has_back_color::brown,has_back_color,True,4530,1105,3425,0.6540725258314755,0.6248949549681386,0.32417365613405885,0.6440614239118359,-0.029177570863336832
60,has_back_color::iridescent,has_back_color,True,4530,102,4428,0.10993937186555891,0.08474872850648991,0.02730916454823825,0.10200502842768104,-0.025190643359068995
61,has_back_color::purple,has_back_color,True,4530,17,4513,0.01473904905447129,0.010656150554148308,0.0043238388496852995,0.01001044858459507,-0.004082898500322981
62,has_back_color::rufous,has_back_color,True,4530,57,4473,0.2072409713320656,0.1732772932785554,0.009725487644044276,0.17889086157799325,-0.03396367805351019
63,has_back_color::grey,has_back_color,True,4530,1427,3103,0.6156730317093855,0.5494939351726881,0.30549253446975383,0.6051407838007538,-0.0661790965366974
64,has_back_color::yellow,has_back_color,True,4530,422,4108,0.5910365497131169,0.5658209973012379,0.15766511080393755,0.5726413443319122,-0.025215552411879005
65,has_back_color::olive,has_back_color,True,4530,196,4334,0.30520989551467864,0.26541152451287375,0.047166387346053204,0.323425064279902,-0.03979837100180489
66,has_back_color::green,has_back_color,True,4530,87,4443,0.2851569014158229,0.3297536292846357,0.02428753315182231,0.3041295547185932,0.0445967278688128
67,has_back_color::pink,has_back_color,True,4530,20,4510,0.0049124176228580495,0.0052113621662154596,0.004333852239687308,0.00936498189220008,0.00029894454335741005
68,has_back_color::orange,has_back_color,True,4530,94,4436,0.23743550591284,0.11202091064420354,0.02117654421872574,0.16480054336356334,-0.12541459526863646
69,has_back_color::black,has_back_color,True,4530,1663,2867,0.7548521695982191,0.697714587455911,0.3731222210763053,0.7541375816266457,-0.05713758214230813
70,has_back_color::white,has_back_color,True,4530,893,3637,0.5818688419182836,0.5147013381039784,0.2664260304152739,0.5593598161972654,-0.06716750381430514
71,has_back_color::red,has_back_color,True,4530,103,4427,0.4367656164541202,0.39612068300796355,0.019787300908358223,0.4419228635731689,-0.04064493344615666
72,has_back_color::buff,has_back_color,True,4530,841,3689,0.49976205644930866,0.43754281073326967,0.23099428902569347,0.500210435954339,-0.062219245716038984
73,has_tail_shape::forked_tail,has_tail_shape,True,4586,198,4388,0.18080721491332308,0.14154711956329394,0.03658404112239808,0.1611977859918509,-0.03926009535002914
74,has_tail_shape::rounded_tail,has_tail_shape,True,4586,652,3934,0.19105804969799306,0.17962741179325786,0.14950680015863188,0.1901271145160698,-0.011430637904735197
75,has_tail_shape::notched_tail,has_tail_shape,True,4586,1715,2871,0.5013448857478788,0.4852342337608646,0.4457168742568912,0.49244559192710496,-0.016110651987014224
76,has_tail_shape::fan-shaped_tail,has_tail_shape,True,4586,436,4150,0.20320909649497754,0.16077874935578546,0.0942551213185224,0.19692034288425572,-0.04243034713919208
77,has_tail_shape::pointed_tail,has_tail_shape,True,4586,1048,3538,0.2946350206374907,0.2663168679389412,0.24340423637665182,0.2811693941115621,-0.02831815269854948
78,has_tail_shape::squared_tail,has_tail_shape,True,4586,537,4049,0.17401625465057116,0.15294216956506101,0.1132394811209713,0.16554797055216328,-0.021074085085510147
79,has_upper_tail_color::blue,has_upper_tail_color,True,3855,214,3641,0.6311027195617089,0.5892743946560295,0.05283905246527463,0.6114551370480669,-0.04182832490567945
80,has_upper_tail_color::brown,has_upper_tail_color,True,3855,828,3027,0.5805469583407196,0.5419452421702969,0.25621543586288464,0.5694814494653953,-0.03860171617042263
